episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,1275,1031,2720.4593129204673,1.0,0.7286644076343709,0,0
2,1245,966,2657.232588226174,1.0,0.7240878622374127,0,0
3,351,218,731.3309630578851,1.0,0.6867563848899051,0,0
4,1555,987,3390.6432539561456,1.0,0.9981500773406733,0,0
5,194,20,502.5324124921513,1.0,0.9431254338152645,0,0
6,331,56,813.1578223943296,1.0,1.0,0,0
7,188,25,512.0411121792093,1.0,0.7490089295774967,0,0
8,893,84,2239.580224748798,0.9830313604790003,1.0,0,0
9,22,1,65.99172081626365,1.0,1.0,0,0
10,1279,31,3052.0420666640434,1.0,1.0,0,0
11,146,6,360.5190001712789,0.9917925503361275,0.8105001857820653,0,0
12,515,1,1225.3378269394677,1.0,0.7597923271084467,0,0
13,1089,7,2865.5711955109628,1.0,0.5479125925663306,0,0
14,325,0,975.00000001,1.0,1.0,0,0
15,405,0,1215.00000001,1.0,1.0,0,0
16,148,1,442.5839580413905,1.0,1.0,0,0
17,24,0,72.00000001000001,1.0,1.0,0,0
18,15,0,45.00000001,1.0,1.0,0,0
19,235,0,705.00000001,1.0,1.0,0,0
20,151,0,453.00000001,1.0,1.0,0,0
